claim_id,claim_text,evidence_id,evidence_text
claim-3070,['government proposing put risk manufacturing industry penalise struggling families make tough situation worse millions households right around australia'],"['evidence-130311', 'evidence-844901', 'evidence-169460', 'evidence-889933', 'evidence-742308', 'evidence-678783']","['ongoing efforts resolve differences satellite temperature datasets', 'work described resulted variety datasets possessing different formats time/space grids periods record regions coverage input datasets analysis procedures well many different forms dataset version designators', 'every confidence science various datasets use', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'datasets also contribute ongoing efforts measure local regional national impacts climate change', 'datasets updated frequently generally close agreement']"
claim-1745,['ipcc simply updated temperature history graphs show best data available time'],"['evidence-169460', 'evidence-889933', 'evidence-104203', 'evidence-361245', 'evidence-742308', 'evidence-678783']","['every confidence science various datasets use', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'institute research combines analysis comprehensive global datasets derived surface stations combined satellite data ssts global models atmospheric land surface oceanic processes', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'datasets also contribute ongoing efforts measure local regional national impacts climate change', 'datasets updated frequently generally close agreement']"
claim-1515,['one really knows last year 2016 global temperature record'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-889933', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-1519,['earth’s climate changing response increasing concentrations greenhouse gases ghgs particulate matter atmosphere largely result human activities'],"['evidence-232147', 'evidence-668884', 'evidence-979052', 'evidence-889933', 'evidence-361245', 'evidence-831735']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'co2', 'co2 emissions continuing rise due burning fossil fuels land-use change', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'alternative fuels known non-conventional advanced fuels materials substances used fuels conventional fuels']"
claim-3069,['continued greenhouse gas emissions current rates would cause warming induce many changes global climate system 21st century would likely larger observed 20th century'],"['evidence-127475', 'evidence-1126083', 'evidence-272633', 'evidence-1037726', 'evidence-889933', 'evidence-188096']","['cold spring township erected 1857 taking name cold springs area', 'cold sulphur springs called cold soufrière located near village', 'includes studio version ``cold cold water acoustic renditions songs advisory committee album', 'mechanism possibly caused cold ocean surface temperature anomaly currently observed near greenland cold blob north atlantic', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'cold spring sometimes spelled cold springs unincorporated community bledsoe county tennessee united states']"
claim-677,['“which say beans eaten cows cows convert beans meat humans eat meat'],"['evidence-196416', 'evidence-411391', 'evidence-77605', 'evidence-889933', 'evidence-72690', 'evidence-182543']","['name change accompanied change group sound', 'marginal change change associated relaxation tightening constraints — either change constraints change response change constraints', 'name change due change corporate sponsorship', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'climate change', 'integrated change management includes updating change request form change originator also tracking change change control register']"
claim-765,['broader term covers changes beyond warmer temperatures shifting rainfall patterns ”'],"['evidence-182543', 'evidence-362283', 'evidence-169460', 'evidence-889933', 'evidence-742308', 'evidence-678783']","['integrated change management includes updating change request form change originator also tracking change change control register', 'role solar activity climate change also calculated longer time periods using proxy datasets tree rings', 'every confidence science various datasets use', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'datasets also contribute ongoing efforts measure local regional national impacts climate change', 'datasets updated frequently generally close agreement']"
claim-2275,['[…] constant 24-7 media coverage every significant storm worldwide makes seem way ”'],"['evidence-362283', 'evidence-844901', 'evidence-169460', 'evidence-889933', 'evidence-742308', 'evidence-678783']","['role solar activity climate change also calculated longer time periods using proxy datasets tree rings', 'work described resulted variety datasets possessing different formats time/space grids periods record regions coverage input datasets analysis procedures well many different forms dataset version designators', 'every confidence science various datasets use', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'datasets also contribute ongoing efforts measure local regional national impacts climate change', 'datasets updated frequently generally close agreement']"
claim-1113,['means jet stream meanders big loops bringing warm air frozen north cold air warmer southern climes ”'],"['evidence-196416', 'evidence-411391', 'evidence-77605', 'evidence-889933', 'evidence-72690', 'evidence-182543']","['name change accompanied change group sound', 'marginal change change associated relaxation tightening constraints — either change constraints change response change constraints', 'name change due change corporate sponsorship', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'climate change', 'integrated change management includes updating change request form change originator also tracking change change control register']"
claim-2611,['final amount extra co2 remains atmosphere stays time scale centuries'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-889933', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-2060,['global warming causing hurricanes stronger hurricanes'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-889933', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-2326,['2007 northern hemisphere reached record low ice coverage northwest passage opened'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-889933', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-1087,['particular signature warming 2016 also revealing another way overpeck said noting stratosphere… saw record cold temperatures last year'],"['evidence-232147', 'evidence-403100', 'evidence-890592', 'evidence-889933', 'evidence-361245', 'evidence-182543']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'integrated change management includes updating change request form change originator also tracking change change control register']"
claim-2867,['skeptics oppose scientific findings threaten world view far closer galileo belief-based critics catholic church'],"['evidence-196416', 'evidence-411391', 'evidence-77605', 'evidence-889933', 'evidence-72690', 'evidence-182543']","['name change accompanied change group sound', 'marginal change change associated relaxation tightening constraints — either change constraints change response change constraints', 'name change due change corporate sponsorship', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'climate change', 'integrated change management includes updating change request form change originator also tracking change change control register']"
claim-2300,['austria today seeing earliest snowfall history 30 40 centimetres already predicted mountains'],"['evidence-196416', 'evidence-411391', 'evidence-77605', 'evidence-889933', 'evidence-72690', 'evidence-182543']","['name change accompanied change group sound', 'marginal change change associated relaxation tightening constraints — either change constraints change response change constraints', 'name change due change corporate sponsorship', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'climate change', 'integrated change management includes updating change request form change originator also tracking change change control register']"
claim-2250,['global warming skeptics argue earth climate sensitivity low doubling atmospheric co2 result surface temperature change order 1°c less therefore global warming nothing worry'],"['evidence-1170729', 'evidence-733076', 'evidence-203457', 'evidence-183662', 'evidence-1177428']","['atmosphere likely retained gravity subject high temperature atmosphere low', 'removal atmosphere', 'point shift reducing atmosphere oxidizing atmosphere', 'atmosphere many things qualities atmosphere measured', 'temperature atmosphere']"
claim-2429,['32 years rapidly increasing global temperatures minor increase global co2 emissions followed 33 years slowly cooling global temperatures rapid increases global co2 emissions deceitful ipcc make claim co2 emissions primarily responsible observed 20th century global warming'],"['evidence-1205623', 'evidence-901953', 'evidence-715636', 'evidence-109198', 'evidence-805457']","['co2 concentration already released atmosphere since beginning industrialization risen well 300 ppm 415 ppm 2019', 'based current rate increase averaging 2 ppm per year greenhouse gas concentrations likely reach 400 ppm 2016 450 ppm 2041 550 ppm around 2091', 'estimated solid earth whole contains 730 ppm carbon 2000 ppm core 120 ppm combined mantle crust', 'atmospheric carbon dioxide increased 280 ppm 1750 383 ppm 2007 increasing average rate 2 ppm pr year', 'glacial–interglacial cycles past million years natural processes varied approximately 100 ppm 180 ppm 280 ppm anthropogenic net emissions increased atmospheric concentration comparable amount 280 ppm holocene pre-industrial equilibrium approximately 400 ppm 2015–2016 monthly monitoring data displaying rising trend 400 ppm']"
claim-3051,['natural influences particular impact el niño la niña removed recent termperature record evidence significant change human contribution climate change'],"['evidence-844466', 'evidence-541112', 'evidence-516572', 'evidence-558366', 'evidence-809695']","['released beneath surface 2002', 'released june 28 2005 j full surface records', 'released 1986', 'album released 1973 re-released 1990', 'released 1986 re-released 1994']"
claim-1549,['empirical evidence climate change'],"['evidence-196416', 'evidence-72690', 'evidence-1122343', 'evidence-885043', 'evidence-182543']","['name change accompanied change group sound', 'climate change', 'global change research program', 'global change research program', 'integrated change management includes updating change request form change originator also tracking change change control register']"
claim-261,['1995 one scientist ipcc – jonathan overpeck – wrote email colleague claiming ‘we get rid medieval warm period ’'],"['evidence-1120350', 'evidence-225290', 'evidence-556196', 'evidence-820551', 'evidence-329101']","['currently surface temperatures rising 0 2 °c per decade', 'land air temperatures rising faster sea surface temperatures', 'temperatures low', 'equatorial pacific atlantic cool surface temperatures northern summer east cooler surface temperatures prevail western indian ocean', 'instrumental temperature record provides temperature earth climate system historical network situ measurements surface air temperatures ocean surface temperatures']"
claim-2230,['[ice] expanding much antarctica contrary widespread public belief global warming melting continental ice cap'],"['evidence-232147', 'evidence-844466', 'evidence-225290', 'evidence-820551', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'released beneath surface 2002', 'land air temperatures rising faster sea surface temperatures', 'equatorial pacific atlantic cool surface temperatures northern summer east cooler surface temperatures prevail western indian ocean', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-2579,['past 250 years humans added one part co2 10 000 atmosphere'],"['evidence-232147', 'evidence-403100', 'evidence-844466', 'evidence-890592', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'image 2d surface changes surface rotates', 'released beneath surface 2002', 'sediment contamination surface water common surface mining', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-1416,['recent decades warming accompanied constant rise sea level would appear increase extreme weather events even scientifically determinable cause cannot assigned particular phenomenon'],"['evidence-657129', 'evidence-844466', 'evidence-516572', 'evidence-558366', 'evidence-809695']","['album originally released 1971 re-released 1990', 'released beneath surface 2002', 'released 1986', 'album released 1973 re-released 1990', 'released 1986 re-released 1994']"
claim-2497,['without forests humidity previously moisture-laden winds blew dry'],"['evidence-1122343', 'evidence-50590', 'evidence-724010', 'evidence-885043', 'evidence-182543']","['global change research program', 'global change research program usgcrp analyzes effects global change natural environment agriculture energy production use land water resources transportation human health welfare human social systems biological diversity analyzes current trends global change human-induced natural projects major trends subsequent 25 100 years', 'global change research program concluded [global] warming unequivocal primarily human-induced', 'global change research program', 'integrated change management includes updating change request form change originator also tracking change change control register']"
claim-811,['[climate scientists] say aspects case hurricane harvey—and recent history tropical cyclones worldwide—suggest global warming making bad situation worse'],"['evidence-922144', 'evidence-1122343', 'evidence-519034', 'evidence-1020939', 'evidence-885043']","['june 2009 ccsp changed name united states global change research program released unified synthesis report entitled global climate change impacts united states', 'global change research program', 'ccsp known us global change research program 2002 authorized global change research act 1990', 'change attributed increasingly cold winters arctic stratosphere altitude approximately 20 km 12 mi change associated global warming relationship still investigation', 'global change research program']"
claim-1896,['greg hunt csiro research shows carbon emissions reduced 20 per cent 40 years using nature soils trees'],"['evidence-1085806', 'evidence-125085', 'evidence-1122343', 'evidence-885043', 'evidence-182543']","['another election 1974 resulted little change', 'however little change made many parts world', 'global change research program', 'global change research program', 'integrated change management includes updating change request form change originator also tracking change change control register']"
claim-2819,['importantly oism list contains 39 scientists specialise climate science'],"['evidence-196416', 'evidence-72690', 'evidence-1122343', 'evidence-885043', 'evidence-182543']","['name change accompanied change group sound', 'climate change', 'global change research program', 'global change research program', 'integrated change management includes updating change request form change originator also tracking change change control register']"
claim-2643,['decline refers decline northern tree-rings global temperature openly discussed papers ipcc reports'],"['evidence-922144', 'evidence-1122343', 'evidence-519034', 'evidence-885043', 'evidence-182543']","['june 2009 ccsp changed name united states global change research program released unified synthesis report entitled global climate change impacts united states', 'global change research program', 'ccsp known us global change research program 2002 authorized global change research act 1990', 'global change research program', 'integrated change management includes updating change request form change originator also tracking change change control register']"
claim-1775,['venus likely underwent runaway ‘moist’ greenhouse phase earlier history today kept hot dense co2 atmosphere'],"['evidence-765194', 'evidence-946483', 'evidence-844466', 'evidence-541112', 'evidence-809695']","['currently half carbon dioxide released burning fossil fuels remains atmosphere absorbed vegetation oceans', 'carbon dioxide rock released atmosphere', 'released beneath surface 2002', 'released june 28 2005 j full surface records', 'released 1986 re-released 1994']"
claim-316,['models predicted seven times much warming observed'],"['evidence-232147', 'evidence-403100', 'evidence-844466', 'evidence-890592', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'image 2d surface changes surface rotates', 'released beneath surface 2002', 'sediment contamination surface water common surface mining', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-896,['according exposure particulate matter increases risk acute lower respiratory infection chronic obstructive pulmonary disease heart disease stroke lung cancer'],"['evidence-232147', 'evidence-844466', 'evidence-541112', 'evidence-361245', 'evidence-1182055']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'released beneath surface 2002', 'released june 28 2005 j full surface records', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'much colder conditions actually exist earth surface global mean surface temperature 14 °c']"
claim-331,['serial adjustment tended make early years colder increases warming trend'],"['evidence-232147', 'evidence-842998', 'evidence-517510', 'evidence-361245', 'evidence-898639']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'public received well little little spread', 'anna little ann little annie little may refer', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'little known species']"
claim-2574,['world scale coral reefs decline'],"['evidence-842998', 'evidence-517510', 'evidence-361245', 'evidence-644211', 'evidence-898639']","['public received well little little spread', 'anna little ann little annie little may refer', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'little film survives little 60 seconds', 'little known species']"
claim-342,['members media may nod along claims [about changes weather extremes] evidence paints different story'],"['evidence-466701', 'evidence-842998', 'evidence-517510', 'evidence-644211', 'evidence-898639']","['little known relationship', 'public received well little little spread', 'anna little ann little annie little may refer', 'little film survives little 60 seconds', 'little known species']"
claim-2034,['latest ipcc reports ar5 shown global mean temperature forecasts 2005 ipcc report exceeded actual readings'],"['evidence-232147', 'evidence-844466', 'evidence-890592', 'evidence-361245', 'evidence-1182055']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'released beneath surface 2002', 'sediment contamination surface water common surface mining', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'much colder conditions actually exist earth surface global mean surface temperature 14 °c']"
claim-578,['‘if nothing reduce greenhouse gas emissions kind extreme heat saw past summer norm young son grown man ’'],"['evidence-844466', 'evidence-225290', 'evidence-558366', 'evidence-809695', 'evidence-88078']","['released beneath surface 2002', 'land air temperatures rising faster sea surface temperatures', 'album released 1973 re-released 1990', 'released 1986 re-released 1994', 'band released four singles album ``all ``little late ``turn ``supposed released exclusively canada']"
claim-976,['gas builds soil forming mounds called ‘pingoes ’'],"['evidence-196416', 'evidence-1085806', 'evidence-125085', 'evidence-72690', 'evidence-182543']","['name change accompanied change group sound', 'another election 1974 resulted little change', 'however little change made many parts world', 'climate change', 'integrated change management includes updating change request form change originator also tracking change change control register']"
claim-1097,['“[…]the impact calcification metabolism growth fertility survival calcifying marine species ph lowered 0 3 units […] beneficial damaging'],"['evidence-196416', 'evidence-1085806', 'evidence-125085', 'evidence-72690', 'evidence-182543']","['name change accompanied change group sound', 'another election 1974 resulted little change', 'however little change made many parts world', 'climate change', 'integrated change management includes updating change request form change originator also tracking change change control register']"
claim-609,['that’s antarctica’s mass shrinks ice sheet’s gravitational pull ocean relaxes somewhat seas travel back across globe pile far away — u coasts one prime destination ”'],"['evidence-657129', 'evidence-334887', 'evidence-516572', 'evidence-558366', 'evidence-809695']","['album originally released 1971 re-released 1990', '1 one released single', 'released 1986', 'album released 1973 re-released 1990', 'released 1986 re-released 1994']"
claim-173,['[carbon emissions] could see carbon black'],"['evidence-1120350', 'evidence-225290', 'evidence-817759', 'evidence-820551', 'evidence-329101']","['currently surface temperatures rising 0 2 °c per decade', 'land air temperatures rising faster sea surface temperatures', 'scientific literature strong consensus global surface temperatures increased recent decades trend caused human-induced emissions greenhouse gases', 'equatorial pacific atlantic cool surface temperatures northern summer east cooler surface temperatures prevail western indian ocean', 'instrumental temperature record provides temperature earth climate system historical network situ measurements surface air temperatures ocean surface temperatures']"
claim-1222,['melting greenland ice sheet already major contributor rising sea level eventually lost entirely oceans would rise six metres around world flooding many world’s largest cities'],"['evidence-657129', 'evidence-334887', 'evidence-516572', 'evidence-558366', 'evidence-809695']","['album originally released 1971 re-released 1990', '1 one released single', 'released 1986', 'album released 1973 re-released 1990', 'released 1986 re-released 1994']"
claim-2441,['furthermore physically incorrect state planet simply recovering little ice age'],"['evidence-722375', 'evidence-620111', 'evidence-143084', 'evidence-865377', 'evidence-932693']","['induced aggravated human activities e g', 'analogy made athlete steroids human-induced climate change', 'human-induced warming climate expected continue throughout 21st century beyond', 'penetration human-induced warming world oceans', 'film conclusion emphasises scientific consensus human-induced climate change']"
claim-756,['australia’s signed suicide note [with paris accord] yet didn’t seem notice china india indonesia us commit reducing large carbon dioxide emissions'],"['evidence-722375', 'evidence-620111', 'evidence-143084', 'evidence-865377', 'evidence-932693']","['induced aggravated human activities e g', 'analogy made athlete steroids human-induced climate change', 'human-induced warming climate expected continue throughout 21st century beyond', 'penetration human-induced warming world oceans', 'film conclusion emphasises scientific consensus human-induced climate change']"
claim-2577,['three recent articles give us reason question alarmists’ claims coral reefs deep trouble due buildup greenhouse gases world climate report'],"['evidence-971038', 'evidence-844466', 'evidence-943532', 'evidence-322303', 'evidence-537999']","['harrana climate much like parts country influenced moderate mediterranean climate west hot sahara climate east cold european climate north', 'released beneath surface 2002', 'example climate model simulations last century include major influences climate human-induced natural reproduce many important features observed climate change patterns', 'climate also referred mountain climate highland climate', 'vermont cold climate viticulture']"
claim-2890,['heat continuing build subsurface ocean'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-2478,['kerr 2007 points sunlight-reflecting haze cools much planet seems thinned past decade'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-2399,['greenhouse effect natural occurence much warming severe negative impacts agriculture health environment'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-3091,['global warming history completely coincides history artificial satellites use microwave frequencies outer space'],"['evidence-232147', 'evidence-403100', 'evidence-890592', 'evidence-719989', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'humans also cause surface water lost e', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-141,['greenpeace didn’t save whales switching whale oil petroleum palm oil'],"['evidence-722375', 'evidence-913789', 'evidence-19385', 'evidence-724010', 'evidence-865377']","['induced aggravated human activities e g', '2012 attributed 2010 moscow 2011 texas heat waves human-induced global warming', 'vahrenholt belongs minority skeptical human-induced global warming', 'global change research program concluded [global] warming unequivocal primarily human-induced', 'penetration human-induced warming world oceans']"
claim-1933,['newt gingrich teamed nancy pelosi al gore global warming'],"['evidence-722375', 'evidence-913789', 'evidence-19385', 'evidence-724010', 'evidence-865377']","['induced aggravated human activities e g', '2012 attributed 2010 moscow 2011 texas heat waves human-induced global warming', 'vahrenholt belongs minority skeptical human-induced global warming', 'global change research program concluded [global] warming unequivocal primarily human-induced', 'penetration human-induced warming world oceans']"
claim-1689,['evidence building net cloud feedback likely positive unlikely strongly negative'],"['evidence-722375', 'evidence-913789', 'evidence-19385', 'evidence-724010', 'evidence-865377']","['induced aggravated human activities e g', '2012 attributed 2010 moscow 2011 texas heat waves human-induced global warming', 'vahrenholt belongs minority skeptical human-induced global warming', 'global change research program concluded [global] warming unequivocal primarily human-induced', 'penetration human-induced warming world oceans']"
